Connecting to /Users/enrichmentcap/Documents/antigravity/ccmed/jump_start/data/khan_academy.sqlite3...
Found 9072 exercise nodes with Perseus files
Filtered to 7422 exercises under 'Math'
Already downloaded: 2437/7422 (resuming)
Starting 10 parallel workers...

[50/7422] +0 downloaded, 50 skipped, 0 failed
[6200/7422] +3763 downloaded, 2437 skipped, 0 failed
[6250/7422] +3813 downloaded, 2437 skipped, 0 failed
[6300/7422] +3863 downloaded, 2437 skipped, 0 failed
[6350/7422] +3913 downloaded, 2437 skipped, 0 failed
[6400/7422] +3963 downloaded, 2437 skipped, 0 failed
[6450/7422] +4013 downloaded, 2437 skipped, 0 failed
[6500/7422] +4063 downloaded, 2437 skipped, 0 failed
[6550/7422] +4113 downloaded, 2437 skipped, 0 failed
[6600/7422] +4163 downloaded, 2437 skipped, 0 failed
[6650/7422] +4213 downloaded, 2437 skipped, 0 failed
[6700/7422] +4263 downloaded, 2437 skipped, 0 failed
[6750/7422] +4313 downloaded, 2437 skipped, 0 failed
[6800/7422] +4363 downloaded, 2437 skipped, 0 failed
[6850/7422] +4413 downloaded, 2437 skipped, 0 failed
[6900/7422] +4463 downloaded, 2437 skipped, 0 failed
[6950/7422] +4513 downloaded, 2437 skipped, 0 failed
[7000/7422] +4563 downloaded, 2437 skipped, 0 failed
[7050/7422] +4613 downloaded, 2437 skipped, 0 failed
[7100/7422] +4663 downloaded, 2437 skipped, 0 failed
[7150/7422] +4713 downloaded, 2437 skipped, 0 failed
[7200/7422] +4763 downloaded, 2437 skipped, 0 failed
[7250/7422] +4813 downloaded, 2437 skipped, 0 failed
[7300/7422] +4863 downloaded, 2437 skipped, 0 failed
[7350/7422] +4913 downloaded, 2437 skipped, 0 failed
[7400/7422] +4963 downloaded, 2437 skipped, 0 failed
[7422/7422] +4985 downloaded, 2437 skipped, 0 failed

==================================================
Done. 4985 downloaded, 2437 skipped, 0 failed
Templates saved to: /Users/enrichmentcap/Documents/antigravity/ccmed/scripts/perseus_extractor/output/perseus_templates
